index;baseKv;Vm;Va;Pd;Qd;Pg;Qg;type
297;380;1;-59.01;230.77;0;0;0;1
298;380;1;38.49;252.57;0;0;0;1
299;380;1;-102.87;218.81;0;0;0;1
300;380;1;-47.06;0;0;694.17;0;2
301;380;1;16.91;252.57;0;0;0;1
302;380;1;6.4;170.8;0;0;0;1
303;380;1;-59.1;275.22;0;0;0;1
304;380;1;8.35;0;0;2358.8;0;2
305;380;1;-46.57;677.19;0;0;0;1
306;380;1;-97.88;319;0;0;0;1
307;380;1;-94.89;218.81;0;0;0;1
308;380;1;34.36;251.63;0;0;0;1
309;380;1;-67.55;275.22;0;0;0;1
310;380;1;-99.36;218.81;0;0;0;1
311;380;1;3.02;170.8;0;0;0;1
312;380;1;17.36;251.63;0;0;0;1
313;380;1;-6.82;0;0;891.66;0;2
314;380;1;-22.5;230.77;0;0;0;1
315;380;1;43.26;0;0;1662.28;0;2
316;380;1;26.05;251.63;0;0;0;1
317;380;1;-2.56;170.8;0;0;0;1
318;380;1;-51.93;204.76;0;0;0;1
319;380;1;28.3;251.63;0;0;0;1
320;380;1;-25.19;1277.36;0;0;0;1
321;380;1;-47.71;204.76;0;0;0;1
322;380;1;22.65;724.9;0;0;0;1
323;380;1;23.47;251.63;0;0;0;1
324;380;1;-21.89;230.77;0;0;0;1
325;380;1;-9.38;170.8;0;0;0;1
326;380;1;-11.94;151.36;0;0;0;1
327;380;1;22.67;724.9;0;0;0;1
328;380;1;-55.93;677.19;0;0;0;1
329;380;1;-12.61;230.77;0;0;0;1
330;380;1;-99.49;218.81;0;0;0;1
331;380;1;-45.44;204.76;0;0;0;1
332;380;1;-55.49;439.08;0;0;0;1
333;380;1;-18.26;230.77;0;0;0;1
334;380;1;-11.57;170.8;0;0;0;1
335;380;1;-19.8;230.77;0;0;0;1
336;380;1;11.22;724.9;0;0;0;1
337;380;1;-50.06;230.77;0;0;0;1
338;380;1;-93.53;330.82;0;0;0;1
339;380;1;-8.49;151.36;0;0;0;1
340;380;1;-11.69;151.36;0;0;0;1
341;380;1;-101.59;218.81;0;0;0;1
342;380;1;-14.19;151.36;0;0;0;1
343;380;1;-43.12;204.76;0;0;0;1
344;380;1;16.71;0;0;58.53;0;2
345;380;1;-96.89;330.82;0;0;0;1
346;380;1;-5.56;186.59;0;0;0;1
347;380;1;-19.77;230.77;0;0;0;1
348;380;1;-8.73;0;0;1535.46;0;2
349;380;1;-12.29;151.36;0;0;0;1
350;380;1;6.43;186.59;0;0;0;1
351;380;1;-60.42;358.71;0;0;0;1
352;380;1;-19.4;0;0;1542.29;0;2
353;380;1;-90.23;330.82;0;0;0;1
354;380;1;-25.67;230.77;0;0;0;1
355;380;1;-30.88;230.77;0;0;0;1
356;380;1;6.56;186.59;0;0;0;1
357;380;1;-0.53;0;0;2358.8;0;2
358;380;1;-17.75;151.36;0;0;0;1
359;380;1;-36.93;230.77;0;0;0;1
360;380;1;-10.13;151.36;0;0;0;1
361;380;1;-48.37;376.63;0;0;0;1
362;380;1;-70.91;358.71;0;0;0;1
363;380;1;-0.5;186.59;0;0;0;1
364;380;1;-6.25;151.36;0;0;0;1
365;380;1;-10.96;151.36;0;0;0;1
366;380;1;-35.89;230.77;0;0;0;1
367;380;1;-17.19;151.36;0;0;0;1
